[2025-03-17 20:29:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:29:38 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:29:38 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:31:31 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:31:31 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:31:31 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:15 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:15 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:15 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:15 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:32:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:20 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:32:20 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:32:20 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-18 02:36:39 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-18 02:36:39 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-18 02:36:39 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-18 02:36:39 : INFO] - Cache for next post (with URL: http://eugenioazurmendi.local/mi-web/) adjacent to post with id: 154 has been purged, triggered by action: save_post 
[2025-03-18 02:36:39 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-18 02:36:52 : INFO] - Cache for term page with URL: http://eugenioazurmendi.local/category/sudamerica/  have been purged, triggered by action: edit_terms 
[2025-03-18 02:37:27 : INFO] - Cache for URL: http://eugenioazurmendi.local/bitacora/ has been purged, triggered by action: save_post 
[2025-03-18 02:37:27 : INFO] - Cache for URL: http://eugenioazurmendi.local/bitacora/ has been purged, triggered by action: save_post 
[2025-03-18 02:38:54 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-18 02:39:33 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-18 02:47:58 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:48:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:48:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:49:57 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:50:21 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-18 02:50:41 : INFO] - Cache for URL: http://eugenioazurmendi.local/tal/ has been purged, triggered by action: save_post 
[2025-03-18 02:50:56 : INFO] - Cache for URL: http://eugenioazurmendi.local/taller/ has been purged, triggered by action: save_post 
[2025-03-18 02:51:11 : INFO] - Cache for term page with URL: http://eugenioazurmendi.local/category/laboratorio/  have been purged, triggered by action: edit_terms 
[2025-03-18 02:51:11 : INFO] - Cache for associated posts for term with URL: http://eugenioazurmendi.local/category/laboratorio/ have been purged, triggered by action: edit_terms 
[2025-03-18 02:54:37 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:55:28 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
[2025-03-18 02:55:51 : INFO] - Cache for URL: http://eugenioazurmendi.local/?page_id=221 has been purged, triggered by action: save_post 
[2025-03-18 02:56:24 : INFO] - Cache for URL: http://eugenioazurmendi.local/?page_id=221 has been purged, triggered by action: save_post 
[2025-03-18 02:56:24 : INFO] - Cache for URL: http://eugenioazurmendi.local/?page_id=221 has been purged, triggered by action: save_post 
[2025-03-18 02:56:33 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:56:33 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:57:30 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:57:30 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:59:50 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:59:51 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:59:53 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 02:59:53 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:00:03 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:00:03 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:02:17 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:02:17 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:02:54 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:02:54 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:05:11 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:05:11 : INFO] - Cache for URL: http://eugenioazurmendi.local/redes/ has been purged, triggered by action: save_post 
[2025-03-18 03:05:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/hola/ has been purged, triggered by action: save_post 
